Time,si,mg
731357.167361111,5.25,1.63
731357.25,6.33,1.27
731357.250694444,6.29,1.56
731357.333333333,6.29,1.17
731357.334027778,6.18,1.56
731357.416666667,6.15,1.14
731357.417361111,6.35,1.24
731357.5,5.61,1.11
731357.500694444,5.66,1.29
731357.583333333,5.88,1.16
731357.584027778,5.96,1.3
731357.666666667,5,1.02
731357.667361111,5,1.19
731357.833333333,5.02,1.2
731357.834027778,4.96,1.34
731357.916666667,5.75,1.21
731357.917361111,6.06,1.51
731358,5.57,1.22
731358.000694444,5.55,1.41
731358.083333333,4.41,1.05
731358.084027778,4.51,1.26
731358.166666667,3.71,0.95
731358.167361111,3.65,1.05
731358.25,NaN,NaN
731358.250694444,3.56,0.75
731358.334027778,3.78,0.97
731358.336805556,4.21,0.96
731358.416666667,4.2,0.98
731358.417361111,4.06,1.13
731358.5,4.51,1.09
731358.500694444,4.31,1.26
731358.583333333,4.82,1.15
731358.584027778,4.53,1.23
731358.666666667,4.78,1.07
731358.667361111,4.92,1.59
731358.75,4.14,1.13
731358.750694444,3.86,1.27
731358.833333333,3.98,1.21
731358.834027778,3.92,1.49
731358.916666667,4.64,1.28
731358.917361111,4.59,1.55
731359,4.4,1.15
731359.000694444,4.56,1.48
731359.083333333,4.32,1.13
731359.084027778,4.35,1.52
731359.166666667,4.51,1.16
731359.167361111,4.54,1.41
731359.25,4.19,1.06
731359.250694444,4.38,1.37
731359.333333333,3.79,0.96
731359.334027778,3.7,1.06
731359.416666667,4.08,1.05
731359.417361111,4.06,1.32
731359.5,4.01,1.05
731359.500694444,3.99,1.22
731359.583333333,4.05,1.05
731359.584027778,4.16,1.2
731359.666666667,4.14,1.07
731359.667361111,3.78,1.12
731359.75,4.32,1.13
731359.750694444,4.2,1.35
731359.833333333,3.65,1.04
731359.834027778,3.72,1.28
731359.916666667,4.14,1.1
731359.917361111,4.2,1.46
731360,4.39,1.22
731360.000694444,4.32,1.54
731360.083333333,4.17,1.2
731360.084027778,3.99,1.55
731360.166666667,4.14,1.26
731360.167361111,4.03,1.53
731360.25,4.45,1.23
731360.250694444,4.43,1.53
731360.333333333,4.43,1.17
731360.334027778,4.39,1.48
731360.416666667,4.04,1.16
731360.417361111,3.67,1.33
731360.5,3.85,1.15
731360.500694444,3.72,1.38
731360.583333333,3.8,1.17
731360.584027778,3.57,1.43
731360.666666667,4.21,1.28
731360.667361111,3.74,1.41
731360.833333333,4.41,1.25
731360.834027778,4.15,1.53
731360.916666667,4.46,1.2
731360.917361111,4.24,1.54
731361,4.71,1.2
731361.000694444,4.45,1.43
731361.005555556,NaN,NaN
731361.083333333,4.75,1.17
731361.084027778,4.64,1.53
731361.166666667,4.8,1.16
731361.167361111,4.54,1.57
731361.25,4.33,1.11
731361.250694444,3.88,1.26
731361.333333333,4.8,1.14
731361.334027778,4.18,1.23
731361.416666667,4.52,1.19
731361.417361111,4.46,1.54
731361.5,4.51,1.2
731361.500694444,4.84,1.7
731361.583333333,4.32,1.16
731361.584027778,4.15,1.41
731361.666666667,4.26,1.14
731361.667361111,4.15,1.47
731361.75,4.31,1.2
731361.750694444,4.18,1.48
731361.833333333,3.99,1.14
731361.834027778,3.92,1.42
731361.916666667,2.45,0.81
731361.917361111,2.3,0.81
731362,NaN,NaN
731362.000694444,NaN,NaN
731362.001388889,2.5,0.92
731362.002083333,2.41,1.01
731362.166666667,3.64,1.25
731362.167361111,3.27,1.52
731362.25,4.8,1.26
731362.250694444,4.63,1.66
731362.333333333,4.19,1.11
731362.334027778,4.29,1.44
731362.416666667,3.82,1.07
731362.417361111,3.99,1.38
731362.5,4.22,1.17
731362.500694444,4.23,1.54
731362.583333333,4.44,1.23
731362.584027778,4.83,1.79
731362.666666667,3.99,1.17
731362.667361111,3.93,1.44
731362.75,4.31,1.23
731362.750694444,4.4,1.62
731362.833333333,3.55,1.34
731362.834027778,3.49,1.9
731362.916666667,3.01,1.48
731362.917361111,2.99,2.17
731363,2.55,1.46
731363.000694444,2.37,1.97
731363.083333333,2.26,1.46
731363.084027778,2.24,2.12
731363.166666667,1.99,1.26
731363.167361111,1.84,1.6
731363.25,2.23,1.5
731363.250694444,2.08,2.08
731363.333333333,2.13,1.47
731363.334027778,2.14,2.37
731363.388888889,1.62,1.15
731363.389583333,1.63,1.71
731363.416666667,2.09,1.72
731363.417361111,1.74,1.93
731363.520833333,2.85,1.79
731363.521527778,2.5,2.41
731363.583333333,2.51,1.71
731363.584027778,2.53,2.76
731363.666666667,2.18,1.45
731363.667361111,2.16,2.14
731363.75,4.28,1.99
731363.750694444,4.07,2.6
731363.833333333,4.99,1.65
731363.834027778,5.2,2.35
731363.916666667,4.92,1.52
731363.917361111,4.81,2.01
731364,4.35,1.41
731364.000694444,4.32,1.86
731364.083333333,2.73,0.95
731364.084027778,2.55,1.02
731364.166666667,NaN,NaN
731364.167361111,4.06,1.89
731364.25,4.12,1.43
731364.250694444,3.94,1.83
731364.333333333,4.26,1.49
731364.334027778,4.23,2.08
731364.416666667,3.92,1.38
731364.417361111,4.17,2.08
731364.5,3.69,1.34
731364.500694444,3.87,1.92
731364.583333333,3.51,1.26
731364.584027778,3.63,1.82
731364.666666667,3.68,1.38
731364.667361111,3.77,1.98
731364.75,3.54,1.34
731364.750694444,3.41,1.72
731364.833333333,4.03,1.49
731364.834027778,4.2,2.32
731364.916666667,3.59,1.3
731364.917361111,4,2.02
731365,1.92,0.73
731365.000694444,1.68,0.71
731365.083333333,3.15,1.21
731365.084027778,3.24,1.76
731365.166666667,3.48,1.32
731365.167361111,3.22,1.73
731365.25,5.12,1.53
731365.250694444,5.24,2.2
731365.333333333,5.73,1.44
731365.334027778,5.89,2.06
731365.416666667,5.6,1.41
731365.417361111,5.48,1.8
731365.5,5.03,1.41
731365.500694444,4.89,1.92
731365.583333333,3.68,1.44
731365.584027778,3.39,1.81
731365.666666667,4.03,1.52
731365.667361111,3.75,2.09
731365.75,4.92,1.54
731365.750694444,4.54,1.99
731365.833333333,5.08,1.42
731365.834027778,4.5,1.69
731365.916666667,5.13,1.44
731365.917361111,4.58,1.77
731366,4.61,1.43
731366.000694444,4.24,1.76
731366.083333333,NaN,NaN
731366.084027778,4.42,1.68
731366.166666667,5.02,1.41
731366.167361111,4.83,1.81
731366.25,4.95,1.43
731366.250694444,4.9,1.86
731366.333333333,4.66,1.37
731366.334027778,4.53,1.79
731366.416666667,4.44,1.36
731366.417361111,4.34,1.83
731366.5,4.5,1.42
731366.500694444,4.54,1.52
731366.583333333,4.74,1.48
731366.584027778,4.7,1.6
731366.666666667,3.73,1.15
731366.667361111,3.61,1.23
731366.75,4.09,1.31
731366.750694444,4.11,1.42
731366.833333333,4.18,1.43
731366.834027778,4.03,1.51
731366.916666667,4.01,1.51
731366.917361111,4.02,1.67
731367,3.72,1.45
731367.000694444,3.65,1.58
731367.166666667,3.15,1.33
731367.167361111,2.99,1.46
731367.25,3.21,1.26
731367.250694444,3.18,1.37
731367.333333333,3.17,1.14
731367.334027778,3.21,1.24
731367.416666667,4.09,1.21
731367.417361111,4.45,1.3
731367.5,4.83,1.22
731367.500694444,4.91,1.23
731367.583333333,5.36,1.25
731367.584027778,5.58,1.35
731367.666666667,6.35,1.47
731367.667361111,6.56,1.58
731367.75,5.05,1.5
731367.750694444,5.39,1.7
731367.833333333,4.48,1.59
731367.834027778,4.51,1.36
731367.916666667,3.24,1.32
731367.917361111,3.29,1.47
731368,3.5,1.44
731368.000694444,3.46,1.59
731368.083333333,3.85,1.42
731368.084027778,3.43,1.37
731368.166666667,3.47,1.42
731368.167361111,3.49,1.54
731368.25,NaN,NaN
731368.250694444,NaN,NaN
731368.251388889,3.38,1.56
731368.333333333,4.28,1.61
731368.334027778,4.07,1.61
731368.416666667,4.31,1.49
731368.417361111,4.13,1.53
731368.5,4.5,1.67
731368.500694444,4.13,1.45
731368.583333333,4.52,1.5
731368.584027778,4.26,1.5
731368.663194445,4.2,1.56
731368.663888889,3.88,1.51
731368.75,4.56,1.53
731368.750694444,4.52,1.61
731368.833333333,5.23,1.39
731368.834027778,5.1,1.43
731368.916666667,4.78,1.34
731368.917361111,4.5,1.34
731369,4.66,1.24
731369.000694444,4.55,1.3
731369.083333333,4.79,1.1
731369.084027778,4.78,1.2
731369.166666667,4.73,1.13
731369.167361111,4.65,1.21
731369.25,4.66,1.11
731369.250694444,4.64,1.18
731369.333333333,4.91,1.14
731369.334027778,4.99,1.28
731369.416666667,4.98,1.16
731369.417361111,4.6,1.13
731369.5,4.59,1.08
731369.500694444,4.59,1.77
731369.583333333,NaN,NaN
731369.584027778,4.83,1.25
731369.666666667,NaN,NaN
731369.667361111,4.68,1.28
731369.75,4.76,1.18
731369.750694444,4.41,1.17
731369.833333333,NaN,NaN
731369.834027778,3.84,0.95
731369.916666667,NaN,NaN
731369.917361111,3.89,0.99
731370,4.29,1.1
731370.000694444,4,1.12
731370.083333333,NaN,NaN
731370.084027778,4.56,1.25
731370.166666667,NaN,NaN
731370.167361111,3.98,1.14
731370.25,4.39,1.15
731370.250694444,4.02,1.07
731370.333333333,NaN,NaN
731370.334027778,4.4,1.09
731370.416666667,4.67,1.16
731370.417361111,4.49,1.17
731370.5,4.87,1.28
731370.500694444,4.54,1.2
731370.583333333,4.9,1.17
731370.584027778,4.69,1.16
731370.666666667,5,1.17
731370.667361111,4.53,1.14
731370.75,4.81,1.2
731370.750694444,4.36,1.08
731370.916666667,4.89,1.16
731370.917361111,4.36,1.08
731371,5.01,1.11
731371.000694444,4.65,1.11
731371.083333333,5.38,1.12
731371.084027778,5.12,1.12
731371.166666667,5.27,1.12
731371.167361111,4.71,1.1
731371.25,4.56,1.09
731371.250694444,4.33,1.1
731371.333333333,4.03,1.25
731371.334027778,3.59,1.25
731371.5,4.11,1.25
731371.500694444,3.7,1.22
731371.583333333,NaN,NaN
731371.584027778,3.47,1.19
731371.666666667,NaN,NaN
731371.667361111,3.25,1.12
731371.75,3.71,1.25
731371.750694444,3.19,1.21
731371.833333333,NaN,NaN
731371.834027778,3.59,1.29
731371.916666667,NaN,NaN
731371.917361111,3.81,0.46
731372,4.14,1.34
731372.000694444,3.89,1.39
731372.083333333,NaN,NaN
731372.084027778,3.88,1.37
731372.166666667,NaN,NaN
731372.167361111,3.9,1.37
731372.25,4.12,1.39
731372.250694444,3.84,1.43
731372.333333333,NaN,NaN
731372.334027778,4.08,1.49
731372.416666667,4.23,1.38
731372.417361111,3.78,1.33
731372.5,4.21,1.4
731372.500694444,3.63,1.37
731372.583333333,NaN,NaN
731372.584027778,3.86,1.42
731373.083333333,NaN,NaN
731373.084027778,3.76,1.32
731373.166666667,NaN,NaN
731373.167361111,3.82,1.41
731373.25,4.25,1.44
731373.250694444,3.93,1.44
731373.333333333,4.01,1.36
731373.334027778,NaN,NaN
731373.334722222,3.58,1.36
731373.416666667,4.16,1.47
731373.417361111,3.68,1.44
731373.496527778,4.34,1.52
731373.497222222,4.08,1.55
731373.579861111,4.33,1.45
731373.580555556,3.86,1.41
731373.663194445,4.32,1.41
731373.663888889,3.97,1.45
731373.75,3.73,1.27
731373.750694444,3.79,1.42
731373.833333333,3.91,1.4
731373.834027778,3.42,1.35
731373.916666667,3.59,1.38
731373.917361111,3.15,1.36
731374,3.74,1.36
731374.000694444,3.4,1.46
731374.083333333,4.52,1.4
731374.084027778,3.51,1.25
731374.166666667,4.85,1.28
731374.167361111,4.43,1.3
731374.25,5.29,1.21
731374.250694444,5.03,1.24
