Time,si_in,mg_in
731354.745833333,NaN,NaN
731354.750694444,NaN,NaN
731354.751388889,NaN,NaN
731354.833333333,NaN,NaN
731354.834027778,NaN,NaN
731354.916666667,NaN,NaN
731354.917361111,NaN,NaN
731355,2.66,0.58
731355.000694444,NaN,NaN
731355.083333333,NaN,NaN
731355.084027778,NaN,NaN
731355.166666667,NaN,NaN
731355.167361111,NaN,NaN
731355.25,NaN,NaN
731355.250694444,NaN,NaN
731355.333333333,NaN,NaN
731355.334027778,NaN,NaN
731355.409722222,NaN,NaN
731355.410416667,NaN,NaN
731355.495138889,2.62,0.56
731355.495833333,NaN,NaN
731355.659722222,NaN,NaN
731355.660416667,NaN,NaN
731355.736111111,NaN,NaN
731355.736805556,NaN,NaN
731355.833333333,NaN,NaN
731355.834027778,NaN,NaN
731355.916666667,NaN,NaN
731355.917361111,NaN,NaN
731356,2.62,0.61
731356.000694444,NaN,NaN
731356.084722222,NaN,NaN
731356.085416667,NaN,NaN
731356.166666667,NaN,NaN
731356.167361111,NaN,NaN
731356.25,NaN,NaN
731356.250694444,NaN,NaN
731356.333333333,5.31,1.24
731356.334027778,NaN,NaN
731356.416666667,NaN,NaN
731356.417361111,NaN,NaN
731356.740277778,NaN,NaN
731356.740972222,NaN,NaN
731356.833333333,NaN,NaN
731356.834027778,NaN,NaN
731356.916666667,NaN,NaN
731356.917361111,NaN,NaN
731357,2,0.65
731357.000694444,NaN,NaN
731357.083333333,NaN,NaN
731357.084027778,NaN,NaN
731357.166666667,NaN,NaN
731357.167361111,NaN,NaN
731357.25,NaN,NaN
731357.250694444,NaN,NaN
731357.333333333,NaN,NaN
731357.334027778,NaN,NaN
731357.416666667,NaN,NaN
731357.417361111,NaN,NaN
731357.5,NaN,NaN
731357.500694444,NaN,NaN
731357.583333333,NaN,NaN
731357.584027778,NaN,NaN
731357.666666667,NaN,NaN
731357.667361111,NaN,NaN
731357.833333333,NaN,NaN
731357.834027778,NaN,NaN
731357.916666667,NaN,NaN
731357.917361111,NaN,NaN
731358,NaN,NaN
731358.000694444,NaN,NaN
731358.083333333,NaN,NaN
731358.084027778,NaN,NaN
731358.166666667,NaN,NaN
731358.167361111,NaN,NaN
731358.25,NaN,NaN
731358.250694444,NaN,NaN
731358.334027778,NaN,NaN
731358.336805556,NaN,NaN
731358.416666667,NaN,NaN
731358.417361111,NaN,NaN
731358.5,NaN,NaN
731358.500694444,NaN,NaN
731358.583333333,NaN,NaN
731358.584027778,NaN,NaN
731358.666666667,NaN,NaN
731358.667361111,NaN,NaN
731358.75,NaN,NaN
731358.750694444,NaN,NaN
731358.833333333,NaN,NaN
731358.834027778,NaN,NaN
731358.916666667,NaN,NaN
